LatLong,nearest MRT,Count,travel time to RP in minutes
"1.32277239024452,103.739714299254",Jurong East,51,56
"1.34070811731138,103.744702329438",Jurong East,20,44
"1.34210413117254,103.745408699132",Bukit Batok,14,49
"1.34186652871068,103.74503522598",Bukit Batok,11,46
"1.34034550003904,103.74371089301",Jurong East,15,43
"1.34652151786552,103.734843138868",Chinese Garden,10,48
"1.31923420667707,103.749654325298",Jurong East,8,55
"1.33877574926997,103.735604254517",Chinese Garden,7,43
"1.34665351063977,103.733275157188",Chinese Garden,7,49
"1.34182066937117,103.736087793751",Chinese Garden,15,42
"1.32005146692874,103.741129936544",Jurong East,4,56
"1.33525517762138,103.69508343694",Pioneer,13,46
"1.3352775088019,103.694776239422",Pioneer,9,47
"1.34640538174578,103.71077711286",Boon Lay,75,56
"1.33529905914454,103.724712974749",Lakeside,34,52
"1.34624968110858,103.709387013109",Boon Lay,24,55
"1.33318449829266,103.724354324887",Lakeside,15,55
"1.34725100297379,103.710014454331",Boon Lay,27,51
"1.33540764836183,103.724260953568",Lakeside,28,51
"1.34145537092651,103.687970250455",Pioneer,20,57
"1.35019763757677,103.727348817983",Lakeside,14,53
"1.34052158448265,103.686374490218",Pioneer,14,58
"1.34108918953192,103.687870332112",Pioneer,18,57
"1.34052311772669,103.689190161416",Pioneer,14,55
"1.34824122465841,103.7140978842",Lakeside,72,54
"1.34571919855887,103.719514503616",Lakeside,3,44
"1.34853287172023,103.715468146297",Lakeside,25,51
"1.34508680809242,103.717978488016",Lakeside,29,46
"1.34779267211314,103.71959110524",Lakeside,26,44
"1.34685795317903,103.720359427016",Lakeside,11,42
"1.3471976255018,103.717246730837",Lakeside,20,47
"1.34600002081518,103.695778180317",Pioneer,15,56
"1.33323653409443,103.72084235604",Lakeside,9,56
"1.34731166236677,103.696101746053",Pioneer,17,60
"1.35320439038387,103.703654377512",Boon Lay,17,68
"1.34536778100039,103.700027619601",Pioneer,9,54
"1.3461088638108,103.698426985603",Pioneer,4,58
"1.3515563365069,103.703627488189",Boon Lay,20,61
"1.34256781310442,103.689149776097",Pioneer,16,55
"1.34493825499181,103.692382237035",Pioneer,5,56
"1.34435138215494,103.69749731205",Pioneer,8,56
"1.34793710953534,103.699191895958",Pioneer,5,58
"1.3457082721775,103.692018052051",Pioneer,7,57
"1.343694927282,103.689789273674",Pioneer,11,60
"1.32748325391857,103.721043757083",Lakeside,11,54
"1.34374402387877,103.694357308749",Pioneer,11,53
"1.35229053905004,103.715246438458",Lakeside,18,54
"1.3434262949173,103.690924219836",Pioneer,8,54
"1.34761575693698,103.697320999848",Pioneer,8,58
"1.33368866801987,103.720747470236",Lakeside,9,54
"1.34932674801464,103.700721849687",Boon Lay,11,60
"1.35431434826725,103.722395947126",Lakeside,2,58
"1.3519543113972,103.725622636589",Lakeside,18,56
"1.34340090633781,103.696252484178",Pioneer,10,51
"1.34551436245234,103.708635583627",Boon Lay,4,52
"1.35163889174202,103.717524141693",Lakeside,11,54
"1.34364538956412,103.69827338457",Pioneer,7,52
"1.35059213918849,103.715348643271",Lakeside,12,56
"1.35158269235001,103.718516174409",Lakeside,15,55
"1.33943036999687,103.697683971767",Pioneer,17,44
"1.33648744038913,103.695614521724",Pioneer,23,43
"1.34513373209401,103.702060183249",Boon Lay,24,50
"1.33766746069838,103.724154795838",Lakeside,8,47
